Player Link,Weight in kg,Height in cm,Birth Date,Experience,Player Name
https://www.basketball-reference.com/players/b/bradlav01.html,81,190,1990-11-26,11 years,Avery Bradley
https://www.basketball-reference.com/players/b/bradlto01.html,112,208,1998-01-08,4 years,Tony Bradley
https://www.basketball-reference.com/players/b/breweco01.html,84,206,1986-03-05,13 years,Corey Brewer
https://www.basketball-reference.com/players/b/brogdma01.html,103,196,1992-12-11,5 years,Malcolm Brogdon
https://www.basketball-reference.com/players/b/brookaa01.html,73,183,1985-01-14,10 years,Aaron Brooks
https://www.basketball-reference.com/players/b/brookdi01.html,102,201,1996-01-22,4 years,Dillon Brooks
https://www.basketball-reference.com/players/b/brookma01.html,90,196,1989-01-26,5 years,MarShon Brooks
https://www.basketball-reference.com/players/b/brownan02.html,95,201,1992-10-10,3 years,Anthony Brown
https://www.basketball-reference.com/players/b/brownbo02.html,79,188,1984-09-24,4 years,Bobby Brown
https://www.basketball-reference.com/players/b/brownja02.html,101,198,1996-10-24,5 years,Jaylen Brown
https://www.basketball-reference.com/players/b/brownlo01.html,85,196,1990-08-26,5 years,Lorenzo Brown
https://www.basketball-reference.com/players/b/brownma02.html,86,190,1992-01-29,3 years,Markel Brown
https://www.basketball-reference.com/players/b/brownst02.html,99,196,1995-02-10,4 years,Sterling Brown
https://www.basketball-reference.com/players/b/brussni01.html,88,201,1993-03-02,2 years,Nicolás Brussino
https://www.basketball-reference.com/players/b/bryanth01.html,112,208,1997-07-31,4 years,Thomas Bryant
https://www.basketball-reference.com/players/b/bullore01.html,92,198,1991-03-16,8 years,Reggie Bullock
https://www.basketball-reference.com/players/b/burketr01.html,83,183,1992-11-12,8 years,Trey Burke
https://www.basketball-reference.com/players/b/burksal01.html,97,198,1991-07-20,10 years,Alec Burks
https://www.basketball-reference.com/players/b/butleji01.html,104,201,1989-09-14,10 years,Jimmy Butler
https://www.basketball-reference.com/players/b/buyckdw01.html,86,190,1989-03-06,3 years,Dwight Buycks
https://www.basketball-reference.com/players/c/cabocbr01.html,98,206,1995-09-21,7 years,Bruno Caboclo
https://www.basketball-reference.com/players/c/caldejo01.html,90,190,1981-09-28,14 years,José Calderón
https://www.basketball-reference.com/players/c/caldwke01.html,92,196,1993-02-18,8 years,Kentavious Caldwell-Pope
https://www.basketball-reference.com/players/c/canaais01.html,91,183,1991-05-21,6 years,Isaiah Canaan
https://www.basketball-reference.com/players/c/capelca01.html,108,208,1994-05-18,7 years,Clint Capela
https://www.basketball-reference.com/players/c/carrode01.html,97,198,1986-07-27,11 years,DeMarre Carroll
https://www.basketball-reference.com/players/c/cartevi01.html,99,198,1977-01-26,22 years,Vince Carter
https://www.basketball-reference.com/players/c/cartemi01.html,86,196,1991-10-10,8 years,Michael Carter-Williams
https://www.basketball-reference.com/players/c/carusal01.html,84,193,1994-02-28,4 years,Alex Caruso
https://www.basketball-reference.com/players/c/casspom01.html,102,206,1988-06-22,10 years,Omri Casspi
https://www.basketball-reference.com/players/c/caulewi01.html,108,213,1993-08-18,6 years,Willie Cauley-Stein
https://www.basketball-reference.com/players/c/cavanty01.html,107,206,1994-02-09,2 years,Tyler Cavanaugh
https://www.basketball-reference.com/players/c/chalmma01.html,86,188,1986-05-19,9 years,Mario Chalmers
https://www.basketball-reference.com/players/c/chandty01.html,106,213,1982-10-02,19 years,Tyson Chandler
https://www.basketball-reference.com/players/c/chandwi01.html,106,203,1987-05-10,12 years,Wilson Chandler
https://www.basketball-reference.com/players/c/chrisma01.html,108,206,1997-07-02,5 years,Marquese Chriss
https://www.basketball-reference.com/players/c/clarkia01.html,79,190,1991-03-07,6 years,Ian Clark
https://www.basketball-reference.com/players/c/clarkjo01.html,87,193,1992-06-07,7 years,Jordan Clarkson
https://www.basketball-reference.com/players/c/clavegi01.html,83,193,1993-11-26,1 year,Gian Clavell
https://www.basketball-reference.com/players/c/clevean01.html,88,196,1994-02-02,2 years,Antonius Cleveland
https://www.basketball-reference.com/players/c/collijo01.html,106,206,1997-09-23,4 years,John Collins
https://www.basketball-reference.com/players/c/colliza01.html,113,211,1997-11-19,3 years,Zach Collins
https://www.basketball-reference.com/players/c/colliky01.html,95,198,1991-10-03,1 year,Kyle Collinsworth
https://www.basketball-reference.com/players/c/collida01.html,79,183,1987-08-23,10 years,Darren Collison
https://www.basketball-reference.com/players/c/collini01.html,115,208,1980-10-26,14 years,Nick Collison
https://www.basketball-reference.com/players/c/conlemi01.html,79,185,1987-10-11,14 years,Mike Conley
https://www.basketball-reference.com/players/c/connapa01.html,94,196,1993-01-06,6 years,Pat Connaughton
https://www.basketball-reference.com/players/c/cookqu01.html,81,185,1993-03-23,5 years,Quinn Cook
https://www.basketball-reference.com/players/c/cookech01.html,88,196,1994-07-01,1 year,Charles Cooke
https://www.basketball-reference.com/players/c/cooleja01.html,117,206,1991-04-12,2 years,Jack Cooley
https://www.basketball-reference.com/players/c/costema01.html,111,206,1993-08-05,1 year,Matt Costello
https://www.basketball-reference.com/players/c/couside01.html,122,208,1990-08-13,10 years,DeMarcus Cousins
https://www.basketball-reference.com/players/c/covinro01.html,94,201,1990-12-14,8 years,Robert Covington
https://www.basketball-reference.com/players/c/crabbal01.html,96,196,1992-04-09,7 years,Allen Crabbe
https://www.basketball-reference.com/players/c/craigto01.html,100,201,1990-12-19,4 years,Torrey Craig
https://www.basketball-reference.com/players/c/crawfja01.html,83,196,1980-03-20,20 years,Jamal Crawford
https://www.basketball-reference.com/players/c/crawfjo02.html,88,193,1988-10-23,6 years,Jordan Crawford
https://www.basketball-reference.com/players/c/crowdja01.html,106,198,1990-07-06,9 years,Jae Crowder
https://www.basketball-reference.com/players/c/cunnida01.html,104,203,1987-04-22,10 years,Dante Cunningham
https://www.basketball-reference.com/players/c/curryst01.html,83,188,1988-03-14,12 years,Stephen Curry
https://www.basketball-reference.com/players/d/danietr01.html,90,193,1991-07-15,7 years,Troy Daniels
https://www.basketball-reference.com/players/d/davisan02.html,114,208,1993-03-11,9 years,Anthony Davis
https://www.basketball-reference.com/players/d/davisde01.html,107,211,1996-12-02,3 years,Deyonta Davis
https://www.basketball-reference.com/players/d/davised01.html,98,206,1989-06-05,11 years,Ed Davis
https://www.basketball-reference.com/players/d/dedmode01.html,111,213,1989-08-12,8 years,Dewayne Dedmon
https://www.basketball-reference.com/players/d/dekkesa01.html,104,206,1994-05-06,4 years,Sam Dekker
https://www.basketball-reference.com/players/d/delanma01.html,86,190,1989-03-11,2 years,Malcolm Delaney
https://www.basketball-reference.com/players/d/dellama01.html,90,190,1990-09-08,8 years,Matthew Dellavedova
https://www.basketball-reference.com/players/d/denglu01.html,107,206,1985-04-16,15 years,Luol Deng
https://www.basketball-reference.com/players/d/derozde01.html,99,198,1989-08-07,12 years,DeMar DeRozan
https://www.basketball-reference.com/players/d/diallch01.html,99,203,1996-09-13,4 years,Cheick Diallo
https://www.basketball-reference.com/players/d/dienggo01.html,114,208,1990-01-18,8 years,Gorgui Dieng
https://www.basketball-reference.com/players/d/dinwisp01.html,97,196,1993-04-06,7 years,Spencer Dinwiddie
https://www.basketball-reference.com/players/d/dorsety01.html,83,196,1996-02-18,2 years,Tyler Dorsey
https://www.basketball-reference.com/players/d/dotsoda01.html,95,196,1994-05-06,4 years,Damyean Dotson
https://www.basketball-reference.com/players/d/doylemi01.html,83,193,1993-10-31,1 year,Milton Doyle
https://www.basketball-reference.com/players/d/doziepj01.html,92,198,1996-10-25,4 years,PJ Dozier
https://www.basketball-reference.com/players/d/dragigo01.html,86,190,1986-05-06,13 years,Goran Dragić
https://www.basketball-reference.com/players/d/drewla02.html,81,188,1990-03-05,2 years,Larry Drew II
https://www.basketball-reference.com/players/d/drumman01.html,126,208,1993-08-10,9 years,Andre Drummond
https://www.basketball-reference.com/players/d/dudleja01.html,107,198,1985-07-10,14 years,Jared Dudley
https://www.basketball-reference.com/players/d/dunnkr01.html,92,190,1994-03-18,5 years,Kris Dunn
https://www.basketball-reference.com/players/d/duranke01.html,108,208,1988-09-29,13 years,Kevin Durant
https://www.basketball-reference.com/players/e/eddieja01.html,98,201,1991-10-30,3 years,Jarell Eddie
https://www.basketball-reference.com/players/e/ellenhe01.html,108,208,1997-01-13,5 years,Henry Ellenson
https://www.basketball-reference.com/players/e/ellinwa01.html,93,193,1987-11-29,12 years,Wayne Ellington
https://www.basketball-reference.com/players/e/embiijo01.html,127,213,1994-03-16,5 years,Joel Embiid
https://www.basketball-reference.com/players/e/ennisja01.html,97,198,1990-07-01,7 years,James Ennis III
https://www.basketball-reference.com/players/e/ennisty01.html,87,190,1994-08-24,4 years,Tyler Ennis
https://www.basketball-reference.com/players/e/evansja01.html,83,183,1996-07-26,2 years,Jawun Evans
https://www.basketball-reference.com/players/e/evansje01.html,90,206,1987-10-24,7 years,Jeremy Evans
https://www.basketball-reference.com/players/e/evansty01.html,99,198,1989-09-19,10 years,Tyreke Evans
https://www.basketball-reference.com/players/e/exumda01.html,97,196,1995-07-13,6 years,Dante Exum
https://www.basketball-reference.com/players/f/farieke01.html,99,203,1989-11-19,8 years,Kenneth Faried
https://www.basketball-reference.com/players/f/favorde01.html,120,206,1991-07-15,11 years,Derrick Favors
https://www.basketball-reference.com/players/f/feldeka01.html,79,175,1995-03-29,2 years,Kay Felder
https://www.basketball-reference.com/players/f/feliccr01.html,122,211,1992-07-07,6 years,Cristiano Felício
https://www.basketball-reference.com/players/f/feltora01.html,92,185,1984-06-26,14 years,Raymond Felton
https://www.basketball-reference.com/players/f/fergute01.html,86,198,1998-05-17,4 years,Terrance Ferguson
https://www.basketball-reference.com/players/f/ferreyo01.html,80,183,1993-05-09,5 years,Yogi Ferrell
https://www.basketball-reference.com/players/f/finnedo01.html,99,201,1993-05-04,5 years,Dorian Finney-Smith
https://www.basketball-reference.com/players/f/forbebr01.html,92,188,1993-07-23,5 years,Bryn Forbes
https://www.basketball-reference.com/players/f/fournev01.html,92,201,1992-10-29,9 years,Evan Fournier
https://www.basketball-reference.com/players/f/foxde01.html,83,190,1997-12-20,4 years,De'Aaron Fox
https://www.basketball-reference.com/players/f/fraziti01.html,77,183,1990-11-01,7 years,Tim Frazier
https://www.basketball-reference.com/players/k/kanteen01.html,113,208,1992-05-20,10 years,Enes Freedom
https://www.basketball-reference.com/players/f/fryech01.html,115,213,1983-05-17,13 years,Channing Frye
https://www.basketball-reference.com/players/f/fultzma01.html,94,190,1998-05-29,4 years,Markelle Fultz
https://www.basketball-reference.com/players/g/gallida01.html,105,208,1988-08-08,12 years,Danilo Gallinari
https://www.basketball-reference.com/players/g/gallola01.html,90,185,1991-12-09,7 years,Langston Galloway
https://www.basketball-reference.com/players/g/gasolma01.html,115,211,1985-01-29,13 years,Marc Gasol
https://www.basketball-reference.com/players/g/gasolpa01.html,113,213,1980-07-06,18 years,Pau Gasol
https://www.basketball-reference.com/players/g/gayru01.html,113,203,1986-08-17,15 years,Rudy Gay
https://www.basketball-reference.com/players/g/georgpa01.html,99,203,1990-05-02,11 years,Paul George
https://www.basketball-reference.com/players/g/georgma01.html,97,196,1994-03-28,2 years,Marcus Georges-Hunt
https://www.basketball-reference.com/players/g/gibsojo01.html,83,188,1987-11-08,2 years,Jonathan Gibson
https://www.basketball-reference.com/players/g/gibsota01.html,105,206,1985-06-24,12 years,Taj Gibson
https://www.basketball-reference.com/players/g/ginobma01.html,92,198,1977-07-28,16 years,Manu Ginóbili*
https://www.basketball-reference.com/players/g/goberru01.html,117,216,1992-06-26,8 years,Rudy Gobert
https://www.basketball-reference.com/players/g/gordoaa01.html,106,203,1995-09-16,7 years,Aaron Gordon
https://www.basketball-reference.com/players/g/gordoer01.html,97,190,1988-12-25,13 years,Eric Gordon
https://www.basketball-reference.com/players/g/gortama01.html,108,211,1984-02-17,12 years,Marcin Gortat
https://www.basketball-reference.com/players/g/grahatr01.html,99,196,1993-10-28,4 years,Treveon Graham
https://www.basketball-reference.com/players/g/grantje01.html,95,203,1994-03-12,7 years,Jerami Grant
https://www.basketball-reference.com/players/g/grantje02.html,92,193,1992-10-09,5 years,Jerian Grant
https://www.basketball-reference.com/players/g/grayjo01.html,81,183,1993-09-09,2 years,Josh Gray
https://www.basketball-reference.com/players/g/greenda02.html,97,198,1987-06-22,12 years,Danny Green
https://www.basketball-reference.com/players/g/greendr01.html,104,198,1990-03-04,9 years,Draymond Green
https://www.basketball-reference.com/players/g/greenge01.html,92,198,1986-01-26,12 years,Gerald Green
https://www.basketball-reference.com/players/g/greenja01.html,102,203,1990-06-21,7 years,JaMychal Green
https://www.basketball-reference.com/players/g/greenje02.html,106,203,1986-08-28,13 years,Jeff Green
https://www.basketball-reference.com/players/g/griffbl01.html,113,206,1989-03-16,11 years,Blake Griffin
https://www.basketball-reference.com/players/h/hamilda02.html,88,201,1995-08-08,2 years,Daniel Hamilton
https://www.basketball-reference.com/players/h/hardati02.html,92,196,1992-03-16,8 years,Tim Hardaway Jr.
https://www.basketball-reference.com/players/h/hardeja01.html,99,196,1989-08-26,12 years,James Harden
https://www.basketball-reference.com/players/h/harklma01.html,99,201,1993-05-11,9 years,Maurice Harkless
https://www.basketball-reference.com/players/h/harremo01.html,108,201,1994-01-26,6 years,Montrezl Harrell
https://www.basketball-reference.com/players/h/harride01.html,83,190,1983-02-27,15 years,Devin Harris
https://www.basketball-reference.com/players/h/harriga01.html,95,193,1994-09-14,7 years,Gary Harris
https://www.basketball-reference.com/players/h/harrijo01.html,99,198,1991-09-06,7 years,Joe Harris
https://www.basketball-reference.com/players/h/harrito02.html,102,203,1992-07-15,10 years,Tobias Harris
https://www.basketball-reference.com/players/h/harriaa01.html,95,198,1994-10-28,3 years,Aaron Harrison
https://www.basketball-reference.com/players/h/harrian01.html,96,198,1994-10-28,3 years,Andrew Harrison
https://www.basketball-reference.com/players/h/harrish01.html,86,201,1993-10-06,4 years,Shaquille Harrison
https://www.basketball-reference.com/players/h/hartjo01.html,97,196,1995-03-06,4 years,Josh Hart
https://www.basketball-reference.com/players/h/hasleud01.html,106,203,1980-06-09,18 years,Udonis Haslem
https://www.basketball-reference.com/players/h/hayesni01.html,115,203,1994-12-16,1 year,Nigel Hayes
https://www.basketball-reference.com/players/h/haywago01.html,102,201,1990-03-23,11 years,Gordon Hayward
https://www.basketball-reference.com/players/h/hearnre01.html,95,196,1991-08-14,1 year,Reggie Hearn
https://www.basketball-reference.com/players/h/henrymy01.html,95,198,1992-12-23,1 year,Myke Henry
https://www.basketball-reference.com/players/h/hensojo01.html,99,206,1990-12-28,8 years,John Henson
https://www.basketball-reference.com/players/h/hernaju01.html,97,206,1995-09-28,5 years,Juancho Hernangómez
https://www.basketball-reference.com/players/h/hernawi01.html,113,211,1994-05-27,5 years,Willy Hernangómez
https://www.basketball-reference.com/players/h/hezonma01.html,99,203,1995-02-25,5 years,Mario Hezonja
https://www.basketball-reference.com/players/h/hicksis01.html,104,206,1994-07-24,2 years,Isaiah Hicks
https://www.basketball-reference.com/players/h/hieldbu01.html,99,193,1992-12-17,5 years,Buddy Hield
https://www.basketball-reference.com/players/h/hilarne01.html,113,211,1982-09-13,17 years,Nenê
https://www.basketball-reference.com/players/h/hillge01.html,85,193,1986-05-04,13 years,George Hill
https://www.basketball-reference.com/players/h/hillso01.html,102,198,1991-03-18,8 years,Solomon Hill
https://www.basketball-reference.com/players/h/hillida01.html,92,198,1993-04-13,3 years,Darrun Hilliard
https://www.basketball-reference.com/players/h/holidjr01.html,92,190,1990-06-12,12 years,Jrue Holiday
https://www.basketball-reference.com/players/h/holidju01.html,81,198,1989-04-05,8 years,Justin Holiday
https://www.basketball-reference.com/players/h/hollajo02.html,92,196,1988-11-06,3 years,John Holland
https://www.basketball-reference.com/players/h/holliro01.html,98,198,1995-01-03,6 years,Rondae Hollis-Jefferson
https://www.basketball-reference.com/players/h/holmeri01.html,106,208,1993-10-15,6 years,Richaun Holmes
https://www.basketball-reference.com/players/h/hoodro01.html,94,203,1992-10-20,7 years,Rodney Hood
https://www.basketball-reference.com/players/h/hopsosc01.html,92,201,1989-08-08,2 years,Scotty Hopson
https://www.basketball-reference.com/players/h/horfoal01.html,108,206,1986-06-03,14 years,Al Horford
https://www.basketball-reference.com/players/h/houseda01.html,99,198,1993-06-07,5 years,Danuel House Jr.
https://www.basketball-reference.com/players/h/howardw01.html,120,208,1985-12-08,17 years,Dwight Howard
https://www.basketball-reference.com/players/h/huestjo01.html,104,201,1991-12-19,3 years,Josh Huestis
https://www.basketball-reference.com/players/h/hunterj01.html,83,196,1993-10-24,4 years,R.J. Hunter
https://www.basketball-reference.com/players/h/huntevi01.html,94,203,1994-08-05,1 year,Vince Hunter
https://www.basketball-reference.com/players/i/ibakase01.html,106,208,1989-09-18,12 years,Serge Ibaka
https://www.basketball-reference.com/players/i/iguodan01.html,97,198,1984-01-28,17 years,Andre Iguodala
https://www.basketball-reference.com/players/i/ilyaser01.html,106,206,1987-05-15,13 years,Ersan İlyasova
https://www.basketball-reference.com/players/i/inglejo01.html,99,203,1987-10-02,7 years,Joe Ingles
https://www.basketball-reference.com/players/i/ingraan01.html,86,190,1985-11-19,2 years,Andre Ingram
https://www.basketball-reference.com/players/i/ingrabr01.html,86,203,1997-09-02,5 years,Brandon Ingram
https://www.basketball-reference.com/players/i/irvinky01.html,88,188,1992-03-23,10 years,Kyrie Irving
https://www.basketball-reference.com/players/i/isaacjo01.html,104,211,1997-10-03,3 years,Jonathan Isaac
https://www.basketball-reference.com/players/i/iwundwe01.html,88,198,1994-12-20,4 years,Wes Iwundu
https://www.basketball-reference.com/players/j/jackja01.html,90,190,1983-10-28,13 years,Jarrett Jack
https://www.basketball-reference.com/players/j/jacksaa01.html,83,193,1986-05-06,1 year,Aaron Jackson
https://www.basketball-reference.com/players/j/jacksde01.html,91,185,1994-09-07,3 years,Demetrius Jackson
https://www.basketball-reference.com/players/j/jacksjo02.html,93,203,1997-02-10,4 years,Josh Jackson
https://www.basketball-reference.com/players/j/jacksju01.html,99,203,1995-03-28,4 years,Justin Jackson
https://www.basketball-reference.com/players/j/jacksre01.html,94,188,1990-04-16,10 years,Reggie Jackson
https://www.basketball-reference.com/players/j/jamesle01.html,113,206,1984-12-30,18 years,LeBron James
https://www.basketball-reference.com/players/j/jamesmi02.html,85,185,1990-08-18,2 years,Mike James
https://www.basketball-reference.com/players/j/jeffeal01.html,131,208,1985-01-04,14 years,Al Jefferson
https://www.basketball-reference.com/players/j/jefferi01.html,105,201,1980-06-21,17 years,Richard Jefferson
https://www.basketball-reference.com/players/j/jennibr01.html,77,185,1989-09-23,9 years,Brandon Jennings
https://www.basketball-reference.com/players/j/jerebjo01.html,104,208,1987-03-02,9 years,Jonas Jerebko
https://www.basketball-reference.com/players/j/johnsam01.html,108,206,1987-05-01,14 years,Amir Johnson
https://www.basketball-reference.com/players/j/johnsbr02.html,104,208,1994-06-27,2 years,Brice Johnson
https://www.basketball-reference.com/players/j/johnsda04.html,115,213,1995-09-22,1 year,Dakari Johnson
https://www.basketball-reference.com/players/j/johnsja01.html,108,201,1987-02-20,12 years,James Johnson
https://www.basketball-reference.com/players/j/johnsjo02.html,108,201,1981-06-29,17 years,Joe Johnson
https://www.basketball-reference.com/players/j/johnsom01.html,99,206,1989-11-26,1 year,Omari Johnson
https://www.basketball-reference.com/players/j/johnsst04.html,109,198,1996-05-29,6 years,Stanley Johnson
https://www.basketball-reference.com/players/j/johnsty01.html,84,190,1992-05-07,7 years,Tyler Johnson
https://www.basketball-reference.com/players/j/johnswe01.html,97,201,1987-07-11,9 years,Wesley Johnson
https://www.basketball-reference.com/players/j/jokicni01.html,128,211,1995-02-19,6 years,Nikola Jokić
https://www.basketball-reference.com/players/j/jonesda03.html,111,211,1995-06-30,5 years,Damian Jones
https://www.basketball-reference.com/players/j/jonesde02.html,95,196,1997-02-15,5 years,Derrick Jones Jr.
https://www.basketball-reference.com/players/j/jonesja04.html,99,201,1993-05-27,2 years,Jalen Jones
https://www.basketball-reference.com/players/j/jonesty01.html,88,183,1996-05-10,6 years,Tyus Jones
https://www.basketball-reference.com/players/j/jordade01.html,120,211,1988-07-21,13 years,DeAndre Jordan
https://www.basketball-reference.com/players/j/josepco01.html,90,190,1991-08-20,10 years,Cory Joseph
https://www.basketball-reference.com/players/k/kaminfr01.html,108,213,1993-04-04,6 years,Frank Kaminsky
https://www.basketball-reference.com/players/k/kennalu01.html,93,196,1996-06-24,4 years,Luke Kennard
https://www.basketball-reference.com/players/k/kiddgmi01.html,105,198,1993-09-26,8 years,Michael Kidd-Gilchrist
https://www.basketball-reference.com/players/k/kilpase01.html,95,193,1990-01-06,4 years,Sean Kilpatrick
https://www.basketball-reference.com/players/k/klebima01.html,108,208,1992-01-29,4 years,Maxi Kleber
https://www.basketball-reference.com/players/k/korkmfu01.html,91,201,1997-07-24,4 years,Furkan Korkmaz
https://www.basketball-reference.com/players/k/kornelu01.html,113,218,1995-07-15,4 years,Luke Kornet
https://www.basketball-reference.com/players/k/korveky01.html,96,201,1981-03-17,17 years,Kyle Korver
https://www.basketball-reference.com/players/k/koufoko01.html,111,213,1989-02-24,11 years,Kosta Koufos
https://www.basketball-reference.com/players/k/kuzmaky01.html,100,206,1995-07-24,4 years,Kyle Kuzma
https://www.basketball-reference.com/players/k/kuzmimi01.html,97,206,1989-10-19,2 years,Mindaugas Kuzminskas
https://www.basketball-reference.com/players/l/labissk01.html,106,208,1996-03-18,4 years,Skal Labissière
https://www.basketball-reference.com/players/l/lambje01.html,81,196,1992-05-30,9 years,Jeremy Lamb
https://www.basketball-reference.com/players/l/larkish01.html,79,180,1992-10-02,4 years,Shane Larkin
https://www.basketball-reference.com/players/l/lauvejo01.html,99,211,1991-09-30,4 years,Joffrey Lauvergne
https://www.basketball-reference.com/players/l/lavinza01.html,90,196,1995-03-10,7 years,Zach LaVine
https://www.basketball-reference.com/players/l/laymaja01.html,94,203,1994-03-07,5 years,Jake Layman
